"","treatment","age","sex","ethnicityAsian","num_completed","accuracy"
"248",1,37,"Male",0,3,0.666666666666667
"249",1,40,"Female",0,5,0.4
"250",1,25,"Female",0,3,0.666666666666667
"251",1,74,"Female",0,4,0.5
"252",1,23,"Female",0,5,0.6
"253",1,26,"Male",0,4,0.75
"254",1,56,"Female",0,2,0.5
"255",1,31,"Female",1,4,1
"256",1,26,"Male",0,5,0
"257",1,39,"Female",0,3,1
"258",1,25,"Male",1,3,0.666666666666667
"259",1,45,"Female",0,4,1
"260",1,32,"Male",1,1,1
"261",1,28,"Male",0,4,0.75
"262",1,24,"Male",0,3,0.333333333333333
"263",1,31,"Male",0,4,1
"264",1,30,"Male",0,3,1
"265",1,34,"Female",0,3,1
"266",1,24,"Male",1,4,1
"267",1,23,"Female",0,3,0.666666666666667
"268",1,27,"Male",1,4,1
"269",1,42,"Female",0,1,0
"270",1,22,"Male",0,4,0.75
"271",1,NA,"Male",0,5,0.8
"272",1,20,"Female",0,1,1
"273",1,49,"Male",0,4,1
"274",1,28,"Male",1,5,0.6
"275",1,22,"Male",0,3,0.666666666666667
"276",1,19,"Male",0,5,1
"277",1,64,"Female",0,5,0.8
"278",1,22,"Female",0,4,0.75
"279",1,31,"Male",0,4,0.5
"280",1,60,"Female",0,5,0.8
"281",1,39,"Male",0,4,1
"282",1,23,"Male",0,2,1
"283",1,54,"Female",0,2,1
"284",1,31,"Female",0,3,1
"285",1,32,"Male",0,4,0.5
"286",1,53,"Male",0,5,0
"287",1,33,"Female",0,2,1
"288",1,28,"Male",0,4,0.75
"289",1,29,"Female",0,2,0.5
"290",1,35,"Female",0,3,1
"291",1,54,"Male",0,5,0
"292",1,27,"Male",0,4,1
"293",1,48,"Female",0,4,0.5
"294",1,23,"Male",1,2,0.5
"295",1,34,"Male",0,3,0.666666666666667
"296",1,45,"Male",0,5,0.8
"297",1,27,"Male",0,3,1
"298",1,38,"Male",0,2,1
"299",1,41,"Male",0,3,1
"300",1,26,"Male",1,3,1
"301",1,28,"Male",0,5,1
