PROLIFIC_PID,treatment,age,sex,ethnicity,score,num_completed
5c51d7f198b0ff000110dba8,1,54,Male,White,1,1
6336950e3e1156c5bf8109da,1,37,Male,White,1,2
57e148fe538c8c0001616bf0,1,48,Female,White,3,3
5ff40482197628a732bdf46a,1,24,Female,Black,2,2
60fdb1610442c8225ce80a4a,1,26,Male,White,1,1
5eddce842514f6ae9a1e5006,1,25,Female,Asian,0,2
5a4bf09053a4560001ba0ebf,1,35,Male,White,1,2
60fd70898841a1b5932c69f1,1,26,Female,White,4,4
569e9d738ad3f8000d742557,1,27,Female,Black,4,4
5d61547443c13200193ccb12,1,38,Male,White,0,0
6171fb48ed4824ddf0dafbc7,1,64,Female,White,2,2
60ff30b74d093ac56951f9a1,1,23,Female,White,4,5
5f470cabf1863a0fb0eb7d61,1,31,Female,Mixed,2,2
5bd53a8f46e2010001a12adb,1,26,Female,White,2,5
62d2acff98e9cf52cd82c82f,1,23,Female,White,4,4
636b3526ab3865946ef34dbf,1,72,Female,White,1,5
5af5c57ae19f8c00019e3a2a,1,22,DATA_EXPIRED,White,1,1
60db64e309afd89c90c7fcd8,1,23,Female,White,2,5
55895dc2fdf99b724b3012d3,1,24,Male,White,3,4
5ca95e5fb98ee20017d6eeb7,1,44,Female,White,2,3
5e3d8d90de328d044e7c6ffb,1,36,Male,White,4,5
5c62c8c594e3bc0001d66cf8,1,37,Male,White,2,3
62c31e3d37522ffaa26aadc2,1,40,Female,Black,2,5
5daca5b06aa37b00126c8d41,1,25,Female,Black,2,3
63686d18c3ed2b47b0bc5d21,1,74,Female,Other,2,4
62a3a9861edbeed6cdf46ee9,1,23,Female,White,3,5
6306d39340264f76753706fd,1,26,Male,White,3,4
5fb163956055b15fb0bcef6d,1,56,Female,White,1,2
5d012930cfeb82001817c9c9,1,31,Female,Asian,4,4
62ff8c9ff1c92a7c721d3fcc,1,26,Male,Mixed,0,5
5d4254db5b2c430001418a3c,1,39,Female,White,3,3
5928b05e590f0b000126edb8,1,25,Male,Asian,2,3
614fe18205aad8c0f76bb0fe,1,45,Female,White,4,4
62bb23c919ebfd3b0448e942,1,32,Male,Asian,1,1
60bdc5001e7f9432fe724a3b,1,28,Male,White,3,4
5cf1eed7a602eb0001e2e850,1,24,Male,White,1,3
6337b9604370dd57643b81a0,1,31,Male,White,4,4
